index,NDB_No,Shrt_Desc,Water,Energ_Kcal,Carbohydrt,Calcium,Cholestrl,Sodium,Zinc
0,1001,"BUTTER,WITH SALT",15.87,717,0.06,24,215,643,0.09
1,1002,"BUTTER,WHIPPED,W/ SALT",16.72,718,2.87,23,225,583,0.05
2,1003,"BUTTER OIL,ANHYDROUS",0.24,876,0,4,256,2,0.01
3,1004,"CHEESE,BLUE",42.41,353,2.34,528,75,1146,2.66
4,1005,"CHEESE,BRICK",41.11,371,2.79,674,94,560,2.6
5,1006,"CHEESE,BRIE",48.42,334,0.45,184,100,629,2.38
6,1007,"CHEESE,CAMEMBERT",51.8,300,0.46,388,72,842,2.38
7,1008,"CHEESE,CARAWAY",39.28,376,3.06,673,93,690,2.94
8,1009,"CHEESE,CHEDDAR",37.02,404,3.09,710,99,653,3.64
9,1010,"CHEESE,CHESHIRE",37.65,387,4.78,643,103,700,2.79
10,1011,"CHEESE,COLBY",38.2,394,2.57,685,95,604,3.07
11,1012,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98,3.38,83,17,364,0.4
12,1013,"CHEESE,COTTAGE,CRMD,W/FRUIT",79.64,97,4.61,53,13,344,0.33
13,1014,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",81.01,72,6.66,86,7,372,0.47
14,1015,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81.24,81,4.76,111,12,308,0.51
15,1016,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,72,2.72,61,4,406,0.38
16,1017,"CHEESE,CREAM",52.62,350,5.52,97,101,314,0.5
17,1018,"CHEESE,EDAM",41.56,357,1.43,731,89,812,3.75
18,1019,"CHEESE,FETA",55.22,264,4.09,493,89,917,2.88
19,1020,"CHEESE,FONTINA",37.92,389,1.55,550,116,800,3.5
20,1021,"CHEESE,GJETOST",13.44,466,42.65,400,94,600,1.14
21,1022,"CHEESE,GOUDA",41.46,356,2.22,700,114,819,3.9
22,1023,"CHEESE,GRUYERE",33.19,413,0.36,1011,110,714,3.9
23,1024,"CHEESE,LIMBURGER",48.42,327,0.49,497,90,800,2.1
24,1025,"CHEESE,MONTEREY",41.01,373,0.68,746,89,600,3
25,1026,"CHEESE,MOZZARELLA,WHL MILK",50.01,300,2.19,505,79,627,2.92
26,1027,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",48.38,318,2.47,575,89,710,2.46
27,1028,"CHEESE,MOZZARELLA,PART SKIM MILK",53.78,254,2.77,782,64,619,2.76
28,1029,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",47.07,295,5.58,697,64,666,3.62
29,1030,"CHEESE,MUENSTER",41.77,368,1.12,717,96,628,2.81
30,1031,"CHEESE,NEUFCHATEL",63.11,253,3.59,117,74,334,0.82
31,1032,"CHEESE,PARMESAN,GRATED",22.65,420,13.91,853,86,1804,4.2
32,1033,"CHEESE,PARMESAN,HARD",29.16,392,3.22,1184,68,1376,2.75
33,1034,"CHEESE,PORT DE SALUT",45.45,352,0.57,650,123,534,2.6
34,1035,"CHEESE,PROVOLONE",40.95,351,2.14,756,69,876,3.23
35,1036,"CHEESE,RICOTTA,WHOLE MILK",71.7,174,3.04,207,51,84,1.16
36,1037,"CHEESE,RICOTTA,PART SKIM MILK",74.41,138,5.14,272,31,99,1.34
37,1038,"CHEESE,ROMANO",30.91,387,3.63,1064,104,1433,2.58
38,1039,"CHEESE,ROQUEFORT",39.38,369,2,662,90,1809,2.08
39,1040,"CHEESE,SWISS",37.63,393,1.44,890,93,187,4.37
40,1041,"CHEESE,TILSIT",42.86,340,1.88,700,102,753,3.5
41,1042,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",39.61,366,4.78,1045,100,1671,2.49
42,1043,"CHEESE,PAST PROCESS,PIMENTO",39.08,375,1.73,614,94,915,2.98
43,1044,"CHEESE,PAST PROCESS,SWISS",42.31,334,2.1,772,85,1370,3.61
44,1045,"CHEESE FD,COLD PK,AMERICAN",43.12,331,8.32,497,64,966,3.01
45,1046,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",44,330,8.56,682,98,1284,2.31
46,1047,"CHEESE FD,PAST PROCESS,SWISS",43.67,323,4.5,723,82,1552,3.55
47,1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",47.65,290,8.73,562,55,1625,2.59
48,1049,"CREAM,FLUID,HALF AND HALF",81.24,123,4.73,107,35,61,0.39
49,1050,"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",74.51,191,2.82,91,59,72,0.32
50,1052,"CREAM,FLUID,LT WHIPPING",63.5,292,2.96,69,111,34,0.25
51,1053,"CREAM,FLUID,HVY WHIPPING",57.81,340,2.74,66,113,27,0.24
52,1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",61.33,257,12.49,101,76,8,0.37
53,1055,"CREAM,SOUR,RED FAT,CULTURED",80.14,135,4.26,104,39,89,0.5
54,1056,"CREAM,SOUR,CULTURED",73.07,198,4.63,101,59,31,0.33
55,1057,EGGNOG,82.54,88,8.05,130,59,54,0.46
56,1058,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",74.79,178,4.68,113,5,48,0.37
57,1059,"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",87.67,63,4.74,128,2,57,0.36
58,1060,"MILK,FILLED,FLUID,W/LAURIC ACID OIL",87.73,63,4.74,128,2,57,0.36
59,1061,"CHEESE,AMERICAN,NONFAT OR FAT FREE",65.47,126,10.53,789,26,1316,4.11
60,1067,"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",77.27,136,11.38,9,0,67,0.02
61,1068,"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",77.27,136,11.38,9,0,79,0.02
62,1069,"CREAM SUBSTITUTE,POWDERED",2.98,529,59.29,2,0,124,0.07
63,1070,"DESSERT TOPPING,POWDERED",1.47,577,52.54,17,0,122,0.08
64,1071,"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",65.74,194,17.13,90,10,66,0.27
65,1072,"DESSERT TOPPING,PRESSURIZED",60.37,264,16.07,5,0,62,0.01
66,1073,"DESSERT TOPPING,SEMI SOLID,FRZ",50.21,318,23.05,6,0,25,0.03
67,1074,"SOUR CRM,IMITN,CULTURED",71.15,208,6.63,3,0,102,1.18
68,1076,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",88.18,61,6.16,33,0,78,1.18
69,1077,"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",88.13,61,4.8,113,10,43,0.37
70,1078,"MILK,PRODUCER,FLUID,3.7% MILKFAT",87.69,64,4.65,119,14,49,0.38
71,1079,"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",89.21,50,4.8,120,8,47,0.48
